emoji,code_points,description
#⃣,0023 20E3                                              ,keycap:_#
#️⃣,0023 FE0F 20E3,keycap:_\x{23}
*⃣,002A 20E3                                              ,keycap:_*
*️⃣,002A FE0F 20E3,keycap:_*
0⃣,0030 20E3                                              ,keycap:_0
0️⃣,0030 FE0F 20E3,keycap:_0
1⃣,0031 20E3                                              ,keycap:_1
1️⃣,0031 FE0F 20E3,keycap:_1
2⃣,0032 20E3                                              ,keycap:_2
2️⃣,0032 FE0F 20E3,keycap:_2
3⃣,0033 20E3                                              ,keycap:_3
3️⃣,0033 FE0F 20E3,keycap:_3
4⃣,0034 20E3                                              ,keycap:_4
4️⃣,0034 FE0F 20E3,keycap:_4
5⃣,0035 20E3                                              ,keycap:_5
5️⃣,0035 FE0F 20E3,keycap:_5
6⃣,0036 20E3                                              ,keycap:_6
6️⃣,0036 FE0F 20E3,keycap:_6
7⃣,0037 20E3                                              ,keycap:_7
7️⃣,0037 FE0F 20E3,keycap:_7
8⃣,0038 20E3                                              ,keycap:_8
8️⃣,0038 FE0F 20E3,keycap:_8
9⃣,0039 20E3                                              ,keycap:_9
9️⃣,0039 FE0F 20E3,keycap:_9
©,00A9                                                   ,copyright
©️,00A9 FE0F     ,copyright
®,00AE                                                   ,registered
®️,00AE FE0F     ,registered
‼,203C                                                   ,double_exclamation_mark
‼️,203C FE0F     ,double_exclamation_mark
⁉,2049                                                   ,exclamation_question_mark
⁉️,2049 FE0F     ,exclamation_question_mark
™,2122                                                   ,trade_mark
™️,2122 FE0F     ,trade_mark
ℹ,2139                                                   ,information
ℹ️,2139 FE0F     ,information
↔,2194                                                   ,left-right_arrow
↔️,2194 FE0F     ,left-right_arrow
↕,2195                                                   ,up-down_arrow
↕️,2195 FE0F     ,up-down_arrow
↖,2196                                                   ,up-left_arrow
↖️,2196 FE0F     ,up-left_arrow
↗,2197                                                   ,up-right_arrow
↗️,2197 FE0F     ,up-right_arrow
↘,2198                                                   ,down-right_arrow
↘️,2198 FE0F     ,down-right_arrow
↙,2199                                                   ,down-left_arrow
↙️,2199 FE0F     ,down-left_arrow
↩,21A9                                                   ,right_arrow_curving_left
↩️,21A9 FE0F     ,right_arrow_curving_left
↪,21AA                                                   ,left_arrow_curving_right
↪️,21AA FE0F     ,left_arrow_curving_right
⌚,231A                                                   ,watch
⌛,231B                                                   ,hourglass_done
⌨,2328                                                   ,keyboard
⌨️,2328 FE0F     ,keyboard
⏏,23CF                                                   ,eject_button
⏏️,23CF FE0F     ,eject_button
⏩,23E9                                                   ,fast-forward_button
⏪,23EA                                                   ,fast_reverse_button
⏫,23EB                                                   ,fast_up_button
⏬,23EC                                                   ,fast_down_button
⏭,23ED                                                   ,next_track_button
⏭️,23ED FE0F     ,next_track_button
⏮,23EE                                                   ,last_track_button
⏮️,23EE FE0F     ,last_track_button
⏯,23EF                                                   ,play_or_pause_button
⏯️,23EF FE0F     ,play_or_pause_button
⏰,23F0          ,alarm_clock
⏱,23F1                                                   ,stopwatch
⏱️,23F1 FE0F     ,stopwatch
⏲,23F2                                                   ,timer_clock
⏲️,23F2 FE0F     ,timer_clock
⏳,23F3          ,hourglass_not_done
⏸,23F8                                                   ,pause_button
⏸️,23F8 FE0F     ,pause_button
⏹,23F9                                                   ,stop_button
⏹️,23F9 FE0F     ,stop_button
⏺,23FA                                                   ,record_button
⏺️,23FA FE0F     ,record_button
Ⓜ,24C2                                                   ,circled_M
Ⓜ️,24C2 FE0F     ,circled_M
▪,25AA                                                   ,black_small_square
▪️,25AA FE0F     ,black_small_square
▫,25AB                                                   ,white_small_square
▫️,25AB FE0F     ,white_small_square
▶,25B6                                                   ,play_button
▶️,25B6 FE0F     ,play_button
◀,25C0                                                   ,reverse_button
◀️,25C0 FE0F     ,reverse_button
◻,25FB                                                   ,white_medium_square
◻️,25FB FE0F     ,white_medium_square
◼,25FC                                                   ,black_medium_square
◼️,25FC FE0F     ,black_medium_square
◽,25FD                                                   ,white_medium-small_square
◾,25FE                                                   ,black_medium-small_square
☀,2600                                                   ,sun
☀️,2600 FE0F     ,sun
☁,2601                                                   ,cloud
☁️,2601 FE0F     ,cloud
☂,2602                                                   ,umbrella
☂️,2602 FE0F     ,umbrella
☃,2603                                                   ,snowman
☃️,2603 FE0F     ,snowman
☄,2604                                                   ,comet
☄️,2604 FE0F     ,comet
☎,260E                                                   ,telephone
☎️,260E FE0F     ,telephone
☑,2611                                                   ,check_box_with_check
☑️,2611 FE0F     ,check_box_with_check
☔,2614                                                   ,umbrella_with_rain_drops
☕,2615                                                   ,hot_beverage
☘,2618                                                   ,shamrock
☘️,2618 FE0F     ,shamrock
☝,261D                                                   ,index_pointing_up
☝️,261D FE0F     ,index_pointing_up
☝🏻,261D 1F3FB    ,index_pointing_up:_light_skin_tone
☝🏼,261D 1F3FC    ,index_pointing_up:_medium-light_skin_tone
☝🏽,261D 1F3FD    ,index_pointing_up:_medium_skin_tone
☝🏾,261D 1F3FE    ,index_pointing_up:_medium-dark_skin_tone
☝🏿,261D 1F3FF    ,index_pointing_up:_dark_skin_tone
☠,2620                                                   ,skull_and_crossbones
☠️,2620 FE0F     ,skull_and_crossbones
☢,2622                                                   ,radioactive
☢️,2622 FE0F     ,radioactive
☣,2623                                                   ,biohazard
☣️,2623 FE0F     ,biohazard
☦,2626                                                   ,orthodox_cross
☦️,2626 FE0F     ,orthodox_cross
☪,262A                                                   ,star_and_crescent
☪️,262A FE0F     ,star_and_crescent
☮,262E                                                   ,peace_symbol
☮️,262E FE0F     ,peace_symbol
☯,262F                                                   ,yin_yang
☯️,262F FE0F     ,yin_yang
☸,2638                                                   ,wheel_of_dharma
☸️,2638 FE0F     ,wheel_of_dharma
☹,2639                                                   ,frowning_face
☹️,2639 FE0F     ,frowning_face
☺,263A                                                   ,smiling_face
☺️,263A FE0F     ,smiling_face
♀,2640                                                   ,female_sign
♀️,2640 FE0F     ,female_sign
♂,2642                                                   ,male_sign
♂️,2642 FE0F     ,male_sign
♈,2648                                                   ,Aries
♉,2649                                                   ,Taurus
♊,264A                                                   ,Gemini
♋,264B                                                   ,Cancer
♌,264C                                                   ,Leo
♍,264D                                                   ,Virgo
♎,264E                                                   ,Libra
♏,264F                                                   ,Scorpio
♐,2650                                                   ,Sagittarius
♑,2651                                                   ,Capricorn
♒,2652                                                   ,Aquarius
♓,2653                                                   ,Pisces
♟,265F                                                   ,chess_pawn
♟️,265F FE0F     ,chess_pawn
♠,2660                                                   ,spade_suit
♠️,2660 FE0F     ,spade_suit
♣,2663                                                   ,club_suit
♣️,2663 FE0F     ,club_suit
♥,2665                                                   ,heart_suit
♥️,2665 FE0F     ,heart_suit
♦,2666                                                   ,diamond_suit
♦️,2666 FE0F     ,diamond_suit
♨,2668                                                   ,hot_springs
♨️,2668 FE0F     ,hot_springs
♻,267B                                                   ,recycling_symbol
♻️,267B FE0F     ,recycling_symbol
♾,267E                                                   ,infinity
♾️,267E FE0F     ,infinity
♿,267F          ,wheelchair_symbol
⚒,2692                                                   ,hammer_and_pick
⚒️,2692 FE0F     ,hammer_and_pick
⚓,2693          ,anchor
⚔,2694                                                   ,crossed_swords
⚔️,2694 FE0F     ,crossed_swords
⚕,2695                                                   ,medical_symbol
⚕️,2695 FE0F     ,medical_symbol
⚖,2696                                                   ,balance_scale
⚖️,2696 FE0F     ,balance_scale
⚗,2697                                                   ,alembic
⚗️,2697 FE0F     ,alembic
⚙,2699                                                   ,gear
⚙️,2699 FE0F     ,gear
⚛,269B                                                   ,atom_symbol
⚛️,269B FE0F     ,atom_symbol
⚜,269C                                                   ,fleur-de-lis
⚜️,269C FE0F     ,fleur-de-lis
⚠,26A0                                                   ,warning
⚠️,26A0 FE0F     ,warning
⚡,26A1          ,high_voltage
⚧,26A7                                                   ,transgender_symbol
⚧️,26A7 FE0F     ,transgender_symbol
⚪,26AA                                                   ,white_circle
⚫,26AB                                                   ,black_circle
⚰,26B0                                                   ,coffin
⚰️,26B0 FE0F     ,coffin
⚱,26B1                                                   ,funeral_urn
⚱️,26B1 FE0F     ,funeral_urn
⚽,26BD                                                   ,soccer_ball
⚾,26BE                                                   ,baseball
⛄,26C4                                                   ,snowman_without_snow
⛅,26C5                                                   ,sun_behind_cloud
⛈,26C8                                                   ,cloud_with_lightning_and_rain
⛈️,26C8 FE0F     ,cloud_with_lightning_and_rain
⛎,26CE          ,Ophiuchus
⛏,26CF                                                   ,pick
⛏️,26CF FE0F     ,pick
⛑,26D1                                                   ,rescue_worker’s_helmet
⛑️,26D1 FE0F     ,rescue_worker’s_helmet
⛓,26D3                                                   ,chains
⛓‍💥,26D3 200D 1F4A5                                        ,broken_chain
⛓️,26D3 FE0F     ,chains
⛓️‍💥,26D3 FE0F 200D 1F4A5                                   ,broken_chain
⛔,26D4          ,no_entry
⛩,26E9                                                   ,shinto_shrine
⛩️,26E9 FE0F     ,shinto_shrine
⛪,26EA          ,church
⛰,26F0                                                   ,mountain
⛰️,26F0 FE0F     ,mountain
⛱,26F1                                                   ,umbrella_on_ground
⛱️,26F1 FE0F     ,umbrella_on_ground
⛲,26F2                                                   ,fountain
⛳,26F3                                                   ,flag_in_hole
⛴,26F4                                                   ,ferry
⛴️,26F4 FE0F     ,ferry
⛵,26F5          ,sailboat
⛷,26F7                                                   ,skier
⛷️,26F7 FE0F     ,skier
⛸,26F8                                                   ,ice_skate
⛸️,26F8 FE0F     ,ice_skate
⛹,26F9                                                   ,person_bouncing_ball
⛹‍♀,26F9 200D 2640                                         ,woman_bouncing_ball
⛹‍♀️,26F9 200D 2640 FE0F                                    ,woman_bouncing_ball
⛹‍♂,26F9 200D 2642                                         ,man_bouncing_ball
⛹‍♂️,26F9 200D 2642 FE0F                                    ,man_bouncing_ball
⛹️,26F9 FE0F     ,person_bouncing_ball
⛹️‍♀,26F9 FE0F 200D 2640                                    ,woman_bouncing_ball
⛹️‍♀️,26F9 FE0F 200D 2640 FE0F                               ,woman_bouncing_ball
⛹️‍♂,26F9 FE0F 200D 2642                                    ,man_bouncing_ball
⛹️‍♂️,26F9 FE0F 200D 2642 FE0F                               ,man_bouncing_ball
⛹🏻,26F9 1F3FB    ,person_bouncing_ball:_light_skin_tone
⛹🏻‍♀,26F9 1F3FB 200D 2640                                   ,woman_bouncing_ball:_light_skin_tone
⛹🏻‍♀️,26F9 1F3FB 200D 2640 FE0F                              ,woman_bouncing_ball:_light_skin_tone
⛹🏻‍♂,26F9 1F3FB 200D 2642                                   ,man_bouncing_ball:_light_skin_tone
⛹🏻‍♂️,26F9 1F3FB 200D 2642 FE0F                              ,man_bouncing_ball:_light_skin_tone
⛹🏼,26F9 1F3FC    ,person_bouncing_ball:_medium-light_skin_tone
⛹🏼‍♀,26F9 1F3FC 200D 2640                                   ,woman_bouncing_ball:_medium-light_skin_tone
⛹🏼‍♀️,26F9 1F3FC 200D 2640 FE0F                              ,woman_bouncing_ball:_medium-light_skin_tone
⛹🏼‍♂,26F9 1F3FC 200D 2642                                   ,man_bouncing_ball:_medium-light_skin_tone
⛹🏼‍♂️,26F9 1F3FC 200D 2642 FE0F                              ,man_bouncing_ball:_medium-light_skin_tone
⛹🏽,26F9 1F3FD    ,person_bouncing_ball:_medium_skin_tone
⛹🏽‍♀,26F9 1F3FD 200D 2640                                   ,woman_bouncing_ball:_medium_skin_tone
⛹🏽‍♀️,26F9 1F3FD 200D 2640 FE0F                              ,woman_bouncing_ball:_medium_skin_tone
⛹🏽‍♂,26F9 1F3FD 200D 2642                                   ,man_bouncing_ball:_medium_skin_tone
⛹🏽‍♂️,26F9 1F3FD 200D 2642 FE0F                              ,man_bouncing_ball:_medium_skin_tone
⛹🏾,26F9 1F3FE    ,person_bouncing_ball:_medium-dark_skin_tone
⛹🏾‍♀,26F9 1F3FE 200D 2640                                   ,woman_bouncing_ball:_medium-dark_skin_tone
